t,signal_state,EW_approaching,NS_approaching
30.3,NS_GREEN,0,0
30.4,NS_GREEN,0,0
30.5,NS_GREEN,0,0
30.6,NS_GREEN,0,0
30.7,NS_GREEN,0,0
30.8,NS_GREEN,0,0
30.9,NS_GREEN,0,0
31.0,NS_GREEN,0,0
31.1,NS_GREEN,0,0
31.2,NS_GREEN,0,0
31.3,NS_GREEN,0,0
31.4,NS_GREEN,0,0
31.5,NS_GREEN,0,0
31.6,NS_GREEN,0,0
31.7,NS_GREEN,0,0
31.8,NS_GREEN,0,0
31.9,NS_GREEN,0,0
32.0,NS_GREEN,0,0
32.1,NS_GREEN,0,0
32.2,NS_GREEN,0,0
32.3,NS_GREEN,0,0
32.4,NS_GREEN,0,0
32.5,NS_GREEN,0,0
32.6,NS_GREEN,0,0
32.7,NS_GREEN,0,0
32.8,NS_GREEN,0,0
32.9,NS_GREEN,0,0
33.0,NS_GREEN,0,0
33.1,NS_GREEN,0,0
33.2,NS_GREEN,0,0
33.3,NS_GREEN,0,0
33.4,NS_GREEN,0,0
33.5,NS_GREEN,0,0
33.6,NS_GREEN,0,0
33.7,NS_GREEN,0,0
33.8,NS_GREEN,0,0
33.9,NS_GREEN,0,0
34.0,NS_GREEN,0,0
34.1,NS_GREEN,0,0
34.2,NS_GREEN,0,0
34.3,NS_GREEN,0,0
34.4,NS_GREEN,0,0
34.5,NS_GREEN,0,0
34.6,NS_GREEN,0,0
34.7,NS_GREEN,0,0
34.8,NS_GREEN,0,0
34.9,NS_GREEN,0,0
35.0,NS_GREEN,0,0
35.1,NS_GREEN,0,0
35.2,NS_GREEN,0,0
35.3,NS_GREEN,0,0
35.4,NS_GREEN,0,0
35.5,NS_GREEN,0,0
35.6,NS_GREEN,0,0
35.7,NS_GREEN,0,0
35.8,NS_GREEN,0,0
35.9,NS_GREEN,0,0
36.0,NS_GREEN,0,0
36.1,NS_GREEN,0,0
36.2,NS_GREEN,0,0
36.3,NS_GREEN,0,0
36.4,NS_GREEN,0,0
36.5,NS_GREEN,0,0
36.6,NS_GREEN,0,0
36.7,NS_GREEN,0,0
36.8,NS_GREEN,0,0
36.9,NS_GREEN,0,0
37.0,NS_GREEN,0,0
37.1,NS_GREEN,0,0
37.2,NS_GREEN,0,0
37.3,NS_GREEN,0,0
37.4,NS_GREEN,0,0
37.5,NS_GREEN,0,0
37.6,NS_GREEN,0,0
37.7,NS_GREEN,0,0
37.8,NS_GREEN,0,0
37.9,NS_GREEN,0,0
38.0,NS_GREEN,0,0
38.1,NS_GREEN,0,0
38.2,NS_GREEN,0,0
38.3,NS_GREEN,0,0
38.4,NS_GREEN,0,0
38.5,NS_GREEN,0,0
38.6,NS_GREEN,0,0
38.7,NS_GREEN,0,0
38.8,NS_GREEN,0,0
